"Step","VOWELS_FILTER_b40_DUAL_bs16 - decomposition_loss_s","VOWELS_FILTER_b40_DUAL_bs16 - decomposition_loss_s__MIN","VOWELS_FILTER_b40_DUAL_bs16 - decomposition_loss_s__MAX","VOWELS_FILTER_b20_DUAL_bs16 - decomposition_loss_s","VOWELS_FILTER_b20_DUAL_bs16 - decomposition_loss_s__MIN","VOWELS_FILTER_b20_DUAL_bs16 - decomposition_loss_s__MAX","VOWELS_FILTER_b10_DUAL_bs16 - decomposition_loss_s","VOWELS_FILTER_b10_DUAL_bs16 - decomposition_loss_s__MIN","VOWELS_FILTER_b10_DUAL_bs16 - decomposition_loss_s__MAX","VOWELS_FILTER_b0_DUAL_bs16 - decomposition_loss_s","VOWELS_FILTER_b0_DUAL_bs16 - decomposition_loss_s__MIN","VOWELS_FILTER_b0_DUAL_bs16 - decomposition_loss_s__MAX","VOWELS_FILTER_b0.1_DUAL_bs16 - decomposition_loss_s","VOWELS_FILTER_b0.1_DUAL_bs16 - decomposition_loss_s__MIN","VOWELS_FILTER_b0.1_DUAL_bs16 - decomposition_loss_s__MAX","VOWELS_FILTER_b1_DUAL_bs16 - decomposition_loss_s","VOWELS_FILTER_b1_DUAL_bs16 - decomposition_loss_s__MIN","VOWELS_FILTER_b1_DUAL_bs16 - decomposition_loss_s__MAX","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - decomposition_loss_s","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - decomposition_loss_s__MIN","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - decomposition_loss_s__MAX"
"0","6.4174418449401855","6.4174418449401855","6.4174418449401855","6.415992736816406","6.415992736816406","6.415992736816406","6.413078784942627","6.413078784942627","6.413078784942627","2.248979091644287","2.248979091644287","2.248979091644287","5.683969497680664","5.683969497680664","5.683969497680664","6.221219062805176","6.221219062805176","6.221219062805176","6.407443046569824","6.407443046569824","6.407443046569824"
"2","8.048248291015625","8.048248291015625","8.048248291015625","8.037232398986816","8.037232398986816","8.037232398986816","8.014938354492188","8.014938354492188","8.014938354492188","1.586595058441162","1.586595058441162","1.586595058441162","6.040907382965088","6.040907382965088","6.040907382965088","7.389357566833496","7.389357566833496","7.389357566833496","7.970300197601318","7.970300197601318","7.970300197601318"
"4","8.798484802246094","8.798484802246094","8.798484802246094","8.765900611877441","8.765900611877441","8.765900611877441","8.705205917358398","8.705205917358398","8.705205917358398","0.923192024230957","0.923192024230957","0.923192024230957","5.459938049316406","5.459938049316406","5.459938049316406","7.6333208084106445","7.6333208084106445","7.6333208084106445","8.581694602966309","8.581694602966309","8.581694602966309"
"6","9.36038589477539","9.36038589477539","9.36038589477539","9.304476737976074","9.304476737976074","9.304476737976074","9.17670726776123","9.17670726776123","9.17670726776123","0.9354646801948547","0.9354646801948547","0.9354646801948547","3.7310631275177","3.7310631275177","3.7310631275177","7.4481635093688965","7.4481635093688965","7.4481635093688965","8.917428970336914","8.917428970336914","8.917428970336914"
"8","10.05620288848877","10.05620288848877","10.05620288848877","9.951081275939941","9.951081275939941","9.951081275939941","9.711432456970215","9.711432456970215","9.711432456970215","0.8520066738128662","0.8520066738128662","0.8520066738128662","2.6780850887298584","2.6780850887298584","2.6780850887298584","6.998898983001709","6.998898983001709","6.998898983001709","9.257857322692871","9.257857322692871","9.257857322692871"
"10","10.382576942443848","10.382576942443848","10.382576942443848","10.191041946411133","10.191041946411133","10.191041946411133","9.810824394226074","9.810824394226074","9.810824394226074","0.8096152544021606","0.8096152544021606","0.8096152544021606","2.0456156730651855","2.0456156730651855","2.0456156730651855","5.976059913635254","5.976059913635254","5.976059913635254","9.129951477050781","9.129951477050781","9.129951477050781"
"12","10.537055015563965","10.537055015563965","10.537055015563965","10.289246559143066","10.289246559143066","10.289246559143066","9.770362854003906","9.770362854003906","9.770362854003906","0.8811497688293457","0.8811497688293457","0.8811497688293457","1.915906548500061","1.915906548500061","1.915906548500061","5.078575134277344","5.078575134277344","5.078575134277344","8.911849975585938","8.911849975585938","8.911849975585938"
"14","11.035225868225098","11.035225868225098","11.035225868225098","10.65400505065918","10.65400505065918","10.65400505065918","9.90091323852539","9.90091323852539","9.90091323852539","0.8793025016784668","0.8793025016784668","0.8793025016784668","1.652692198753357","1.652692198753357","1.652692198753357","4.228410243988037","4.228410243988037","4.228410243988037","8.750749588012695","8.750749588012695","8.750749588012695"
"16","11.334897994995117","11.334897994995117","11.334897994995117","10.777386665344238","10.777386665344238","10.777386665344238","9.761466026306152","9.761466026306152","9.761466026306152","0.805924654006958","0.805924654006958","0.805924654006958","1.5599803924560547","1.5599803924560547","1.5599803924560547","3.5075550079345703","3.5075550079345703","3.5075550079345703","8.311767578125","8.311767578125","8.311767578125"
"18","11.336015701293945","11.336015701293945","11.336015701293945","10.610790252685547","10.610790252685547","10.610790252685547","9.376348495483398","9.376348495483398","9.376348495483398","0.7814210653305054","0.7814210653305054","0.7814210653305054","1.4523162841796875","1.4523162841796875","1.4523162841796875","2.7973146438598633","2.7973146438598633","2.7973146438598633","7.706797122955322","7.706797122955322","7.706797122955322"
"20","11.393350601196289","11.393350601196289","11.393350601196289","10.531785011291504","10.531785011291504","10.531785011291504","9.15444278717041","9.15444278717041","9.15444278717041","0.9042254090309143","0.9042254090309143","0.9042254090309143","1.7302032709121704","1.7302032709121704","1.7302032709121704","2.6847853660583496","2.6847853660583496","2.6847853660583496","7.359455108642578","7.359455108642578","7.359455108642578"
"22","11.428384780883789","11.428384780883789","11.428384780883789","10.359734535217285","10.359734535217285","10.359734535217285","8.783927917480469","8.783927917480469","8.783927917480469","0.8332654237747192","0.8332654237747192","0.8332654237747192","1.5089221000671387","1.5089221000671387","1.5089221000671387","2.1929190158843994","2.1929190158843994","2.1929190158843994","6.674402713775635","6.674402713775635","6.674402713775635"
"24","11.404303550720215","11.404303550720215","11.404303550720215","10.094014167785645","10.094014167785645","10.094014167785645","8.284533500671387","8.284533500671387","8.284533500671387","0.7901807427406311","0.7901807427406311","0.7901807427406311","1.4341577291488647","1.4341577291488647","1.4341577291488647","1.9746479988098145","1.9746479988098145","1.9746479988098145","5.8647260665893555","5.8647260665893555","5.8647260665893555"
"26","11.048001289367676","11.048001289367676","11.048001289367676","9.551121711730957","9.551121711730957","9.551121711730957","7.549644947052002","7.549644947052002","7.549644947052002","0.790328860282898","0.790328860282898","0.790328860282898","1.2356581687927246","1.2356581687927246","1.2356581687927246","1.7141939401626587","1.7141939401626587","1.7141939401626587","4.788440704345703","4.788440704345703","4.788440704345703"
"28","11.052632331848145","11.052632331848145","11.052632331848145","9.381099700927734","9.381099700927734","9.381099700927734","7.155345916748047","7.155345916748047","7.155345916748047","0.7859611511230469","0.7859611511230469","0.7859611511230469","1.2378084659576416","1.2378084659576416","1.2378084659576416","1.7664655447006226","1.7664655447006226","1.7664655447006226","4.255443572998047","4.255443572998047","4.255443572998047"
"30","10.85496997833252","10.85496997833252","10.85496997833252","8.978856086730957","8.978856086730957","8.978856086730957","6.4524407386779785","6.4524407386779785","6.4524407386779785","0.7660298347473145","0.7660298347473145","0.7660298347473145","1.1162060499191284","1.1162060499191284","1.1162060499191284","1.656984806060791","1.656984806060791","1.656984806060791","3.6325299739837646","3.6325299739837646","3.6325299739837646"
"32","10.642311096191406","10.642311096191406","10.642311096191406","8.581836700439453","8.581836700439453","8.581836700439453","5.899049758911133","5.899049758911133","5.899049758911133","0.7774606943130493","0.7774606943130493","0.7774606943130493","1.1122385263442993","1.1122385263442993","1.1122385263442993","1.7331225872039795","1.7331225872039795","1.7331225872039795","3.232222557067871","3.232222557067871","3.232222557067871"
"34","10.126392364501953","10.126392364501953","10.126392364501953","7.83090353012085","7.83090353012085","7.83090353012085","5.08320426940918","5.08320426940918","5.08320426940918","0.7776206135749817","0.7776206135749817","0.7776206135749817","0.9945530295372009","0.9945530295372009","0.9945530295372009","1.5907176733016968","1.5907176733016968","1.5907176733016968","2.735344648361206","2.735344648361206","2.735344648361206"
"36","9.892903327941895","9.892903327941895","9.892903327941895","7.3907060623168945","7.3907060623168945","7.3907060623168945","4.757115364074707","4.757115364074707","4.757115364074707","0.7699810266494751","0.7699810266494751","0.7699810266494751","0.9682452082633972","0.9682452082633972","0.9682452082633972","1.6118379831314087","1.6118379831314087","1.6118379831314087","2.6008784770965576","2.6008784770965576","2.6008784770965576"
"38","9.557485580444336","9.557485580444336","9.557485580444336","7.098628044128418","7.098628044128418","7.098628044128418","4.68057107925415","4.68057107925415","4.68057107925415","0.79440838098526","0.79440838098526","0.79440838098526","1.0570683479309082","1.0570683479309082","1.0570683479309082","1.75717031955719","1.75717031955719","1.75717031955719","2.7158942222595215","2.7158942222595215","2.7158942222595215"
"40","9.207736015319824","9.207736015319824","9.207736015319824","6.6431169509887695","6.6431169509887695","6.6431169509887695","4.247819423675537","4.247819423675537","4.247819423675537","0.797478437423706","0.797478437423706","0.797478437423706","0.9739536643028259","0.9739536643028259","0.9739536643028259","1.6216177940368652","1.6216177940368652","1.6216177940368652","2.4154467582702637","2.4154467582702637","2.4154467582702637"
"42","8.573087692260742","8.573087692260742","8.573087692260742","6.004974842071533","6.004974842071533","6.004974842071533","3.4786317348480225","3.4786317348480225","3.4786317348480225","0.7638452053070068","0.7638452053070068","0.7638452053070068","0.8939511179924011","0.8939511179924011","0.8939511179924011","1.5345574617385864","1.5345574617385864","1.5345574617385864","2.1620302200317383","2.1620302200317383","2.1620302200317383"
"44","8.086926460266113","8.086926460266113","8.086926460266113","5.658736228942871","5.658736228942871","5.658736228942871","3.2392587661743164","3.2392587661743164","3.2392587661743164","0.7686934471130371","0.7686934471130371","0.7686934471130371","0.8864994645118713","0.8864994645118713","0.8864994645118713","1.4638558626174927","1.4638558626174927","1.4638558626174927","2.0543813705444336","2.0543813705444336","2.0543813705444336"
"46","7.684401035308838","7.684401035308838","7.684401035308838","5.395897388458252","5.395897388458252","5.395897388458252","3.024116277694702","3.024116277694702","3.024116277694702","0.7586574554443359","0.7586574554443359","0.7586574554443359","0.8343483209609985","0.8343483209609985","0.8343483209609985","1.4818437099456787","1.4818437099456787","1.4818437099456787","2.0228192806243896","2.0228192806243896","2.0228192806243896"
"48","7.29952335357666","7.29952335357666","7.29952335357666","5.119155406951904","5.119155406951904","5.119155406951904","2.878976345062256","2.878976345062256","2.878976345062256","0.7718352675437927","0.7718352675437927","0.7718352675437927","0.8851091265678406","0.8851091265678406","0.8851091265678406","1.5160044431686401","1.5160044431686401","1.5160044431686401","1.975566029548645","1.975566029548645","1.975566029548645"
"50","7.1539201736450195","7.1539201736450195","7.1539201736450195","5.0709123611450195","5.0709123611450195","5.0709123611450195","2.862889289855957","2.862889289855957","2.862889289855957","0.7755352258682251","0.7755352258682251","0.7755352258682251","0.9010836482048035","0.9010836482048035","0.9010836482048035","1.5753579139709473","1.5753579139709473","1.5753579139709473","2.0072267055511475","2.0072267055511475","2.0072267055511475"
"52","6.640761852264404","6.640761852264404","6.640761852264404","4.497592449188232","4.497592449188232","4.497592449188232","2.4728424549102783","2.4728424549102783","2.4728424549102783","0.7627069354057312","0.7627069354057312","0.7627069354057312","0.8263468146324158","0.8263468146324158","0.8263468146324158","1.4586440324783325","1.4586440324783325","1.4586440324783325","1.8075979948043823","1.8075979948043823","1.8075979948043823"
"54","6.467441558837891","6.467441558837891","6.467441558837891","4.468862533569336","4.468862533569336","4.468862533569336","2.4313137531280518","2.4313137531280518","2.4313137531280518","0.7706685066223145","0.7706685066223145","0.7706685066223145","0.8661825060844421","0.8661825060844421","0.8661825060844421","1.4888794422149658","1.4888794422149658","1.4888794422149658","1.8333903551101685","1.8333903551101685","1.8333903551101685"
"56","6.479129314422607","6.479129314422607","6.479129314422607","4.5540385246276855","4.5540385246276855","4.5540385246276855","2.5362298488616943","2.5362298488616943","2.5362298488616943","0.7822229862213135","0.7822229862213135","0.7822229862213135","0.951734185218811","0.951734185218811","0.951734185218811","1.8217921257019043","1.8217921257019043","1.8217921257019043","1.9854258298873901","1.9854258298873901","1.9854258298873901"
"58","6.127810001373291","6.127810001373291","6.127810001373291","4.175685882568359","4.175685882568359","4.175685882568359","2.373356819152832","2.373356819152832","2.373356819152832","0.796066164970398","0.796066164970398","0.796066164970398","0.8271340131759644","0.8271340131759644","0.8271340131759644","1.5105960369110107","1.5105960369110107","1.5105960369110107","1.8199766874313354","1.8199766874313354","1.8199766874313354"
"60","5.9381794929504395","5.9381794929504395","5.9381794929504395","4.0315022468566895","4.0315022468566895","4.0315022468566895","2.300971746444702","2.300971746444702","2.300971746444702","0.7904349565505981","0.7904349565505981","0.7904349565505981","0.9158191680908203","0.9158191680908203","0.9158191680908203","1.542710781097412","1.542710781097412","1.542710781097412","1.8873698711395264","1.8873698711395264","1.8873698711395264"
"62","5.9007720947265625","5.9007720947265625","5.9007720947265625","3.8951222896575928","3.8951222896575928","3.8951222896575928","2.2232329845428467","2.2232329845428467","2.2232329845428467","0.7888453602790833","0.7888453602790833","0.7888453602790833","0.9637616872787476","0.9637616872787476","0.9637616872787476","1.5522487163543701","1.5522487163543701","1.5522487163543701","1.835093379020691","1.835093379020691","1.835093379020691"
"64","5.6427741050720215","5.6427741050720215","5.6427741050720215","3.744699001312256","3.744699001312256","3.744699001312256","2.138437271118164","2.138437271118164","2.138437271118164","0.783458948135376","0.783458948135376","0.783458948135376","0.8544397950172424","0.8544397950172424","0.8544397950172424","1.4396886825561523","1.4396886825561523","1.4396886825561523","1.7413687705993652","1.7413687705993652","1.7413687705993652"
"66","5.519238471984863","5.519238471984863","5.519238471984863","3.6121585369110107","3.6121585369110107","3.6121585369110107","2.0735385417938232","2.0735385417938232","2.0735385417938232","0.7585826516151428","0.7585826516151428","0.7585826516151428","0.8021152019500732","0.8021152019500732","0.8021152019500732","1.4370824098587036","1.4370824098587036","1.4370824098587036","1.7228670120239258","1.7228670120239258","1.7228670120239258"
"68","5.417595863342285","5.417595863342285","5.417595863342285","3.554286241531372","3.554286241531372","3.554286241531372","2.1100642681121826","2.1100642681121826","2.1100642681121826","0.7865849733352661","0.7865849733352661","0.7865849733352661","0.8612446188926697","0.8612446188926697","0.8612446188926697","1.4563236236572266","1.4563236236572266","1.4563236236572266","1.748600721359253","1.748600721359253","1.748600721359253"
"70","5.198516845703125","5.198516845703125","5.198516845703125","3.245485544204712","3.245485544204712","3.245485544204712","1.9918339252471924","1.9918339252471924","1.9918339252471924","0.7623522877693176","0.7623522877693176","0.7623522877693176","0.8213856220245361","0.8213856220245361","0.8213856220245361","1.3150527477264404","1.3150527477264404","1.3150527477264404","1.6430025100708008","1.6430025100708008","1.6430025100708008"
"72","5.201228618621826","5.201228618621826","5.201228618621826","3.3416953086853027","3.3416953086853027","3.3416953086853027","2.0683960914611816","2.0683960914611816","2.0683960914611816","0.7897413969039917","0.7897413969039917","0.7897413969039917","0.8838571310043335","0.8838571310043335","0.8838571310043335","1.346403956413269","1.346403956413269","1.346403956413269","1.7810602188110352","1.7810602188110352","1.7810602188110352"
"74","5.058533191680908","5.058533191680908","5.058533191680908","3.215130567550659","3.215130567550659","3.215130567550659","2.020496129989624","2.020496129989624","2.020496129989624","0.7834194898605347","0.7834194898605347","0.7834194898605347","0.835412859916687","0.835412859916687","0.835412859916687","1.3227263689041138","1.3227263689041138","1.3227263689041138","1.7115734815597534","1.7115734815597534","1.7115734815597534"
"76","4.681292533874512","4.681292533874512","4.681292533874512","2.8263919353485107","2.8263919353485107","2.8263919353485107","1.8712800741195679","1.8712800741195679","1.8712800741195679","0.7560296654701233","0.7560296654701233","0.7560296654701233","0.7764132022857666","0.7764132022857666","0.7764132022857666","1.2523996829986572","1.2523996829986572","1.2523996829986572","1.6070927381515503","1.6070927381515503","1.6070927381515503"
"78","4.870841026306152","4.870841026306152","4.870841026306152","2.962308883666992","2.962308883666992","2.962308883666992","1.893355369567871","1.893355369567871","1.893355369567871","0.7701283693313599","0.7701283693313599","0.7701283693313599","0.7948179841041565","0.7948179841041565","0.7948179841041565","1.2460609674453735","1.2460609674453735","1.2460609674453735","1.6311115026474","1.6311115026474","1.6311115026474"
"80","4.6276421546936035","4.6276421546936035","4.6276421546936035","2.864375352859497","2.864375352859497","2.864375352859497","1.95625901222229","1.95625901222229","1.95625901222229","0.8021377921104431","0.8021377921104431","0.8021377921104431","0.9236794710159302","0.9236794710159302","0.9236794710159302","1.3680392503738403","1.3680392503738403","1.3680392503738403","1.6851848363876343","1.6851848363876343","1.6851848363876343"
"82","4.537766933441162","4.537766933441162","4.537766933441162","2.6605067253112793","2.6605067253112793","2.6605067253112793","1.8814191818237305","1.8814191818237305","1.8814191818237305","0.7613967657089233","0.7613967657089233","0.7613967657089233","0.7820643186569214","0.7820643186569214","0.7820643186569214","1.1731281280517578","1.1731281280517578","1.1731281280517578","1.5834710597991943","1.5834710597991943","1.5834710597991943"
"84","4.376610279083252","4.376610279083252","4.376610279083252","2.596752643585205","2.596752643585205","2.596752643585205","1.8922419548034668","1.8922419548034668","1.8922419548034668","0.7672170996665955","0.7672170996665955","0.7672170996665955","0.8131227493286133","0.8131227493286133","0.8131227493286133","1.1661710739135742","1.1661710739135742","1.1661710739135742","1.6585942506790161","1.6585942506790161","1.6585942506790161"
"86","4.181415557861328","4.181415557861328","4.181415557861328","2.4665043354034424","2.4665043354034424","2.4665043354034424","1.792754888534546","1.792754888534546","1.792754888534546","0.760563850402832","0.760563850402832","0.760563850402832","0.7917269468307495","0.7917269468307495","0.7917269468307495","1.1954880952835083","1.1954880952835083","1.1954880952835083","1.6100400686264038","1.6100400686264038","1.6100400686264038"
"88","4.44646692276001","4.44646692276001","4.44646692276001","2.700191020965576","2.700191020965576","2.700191020965576","2.0220823287963867","2.0220823287963867","2.0220823287963867","0.8119054436683655","0.8119054436683655","0.8119054436683655","0.9471336603164673","0.9471336603164673","0.9471336603164673","1.3360165357589722","1.3360165357589722","1.3360165357589722","1.7708463668823242","1.7708463668823242","1.7708463668823242"
"90","4.037485122680664","4.037485122680664","4.037485122680664","2.302433967590332","2.302433967590332","2.302433967590332","1.7191253900527954","1.7191253900527954","1.7191253900527954","0.7579069137573242","0.7579069137573242","0.7579069137573242","0.7673357129096985","0.7673357129096985","0.7673357129096985","1.1137220859527588","1.1137220859527588","1.1137220859527588","1.5124120712280273","1.5124120712280273","1.5124120712280273"
"92","4.025786399841309","4.025786399841309","4.025786399841309","2.34352970123291","2.34352970123291","2.34352970123291","1.8176041841506958","1.8176041841506958","1.8176041841506958","0.7871158123016357","0.7871158123016357","0.7871158123016357","0.8662137985229492","0.8662137985229492","0.8662137985229492","1.1763368844985962","1.1763368844985962","1.1763368844985962","1.648801565170288","1.648801565170288","1.648801565170288"
"94","3.888915777206421","3.888915777206421","3.888915777206421","2.2996790409088135","2.2996790409088135","2.2996790409088135","1.8077088594436646","1.8077088594436646","1.8077088594436646","0.758148193359375","0.758148193359375","0.758148193359375","0.7767304182052612","0.7767304182052612","0.7767304182052612","1.127496600151062","1.127496600151062","1.127496600151062","1.5799469947814941","1.5799469947814941","1.5799469947814941"
"96","3.797543525695801","3.797543525695801","3.797543525695801","2.1879823207855225","2.1879823207855225","2.1879823207855225","1.7452341318130493","1.7452341318130493","1.7452341318130493","0.7614945769309998","0.7614945769309998","0.7614945769309998","0.7782388925552368","0.7782388925552368","0.7782388925552368","1.0956484079360962","1.0956484079360962","1.0956484079360962","1.56265389919281","1.56265389919281","1.56265389919281"
"98","3.5445258617401123","3.5445258617401123","3.5445258617401123","2.0489346981048584","2.0489346981048584","2.0489346981048584","1.629103660583496","1.629103660583496","1.629103660583496","0.7812619209289551","0.7812619209289551","0.7812619209289551","0.7900766730308533","0.7900766730308533","0.7900766730308533","1.062412142753601","1.062412142753601","1.062412142753601","1.4859205484390259","1.4859205484390259","1.4859205484390259"
"100","3.618671178817749","3.618671178817749","3.618671178817749","2.1432435512542725","2.1432435512542725","2.1432435512542725","1.708668828010559","1.708668828010559","1.708668828010559","0.7659316062927246","0.7659316062927246","0.7659316062927246","0.8323949575424194","0.8323949575424194","0.8323949575424194","1.0620704889297485","1.0620704889297485","1.0620704889297485","1.5162709951400757","1.5162709951400757","1.5162709951400757"
"102","3.5589351654052734","3.5589351654052734","3.5589351654052734","2.09643292427063","2.09643292427063","2.09643292427063","1.668192982673645","1.668192982673645","1.668192982673645","0.7742351293563843","0.7742351293563843","0.7742351293563843","0.7949448823928833","0.7949448823928833","0.7949448823928833","1.0146152973175049","1.0146152973175049","1.0146152973175049","1.558918833732605","1.558918833732605","1.558918833732605"
"104","3.6182243824005127","3.6182243824005127","3.6182243824005127","2.198272466659546","2.198272466659546","2.198272466659546","1.7670611143112183","1.7670611143112183","1.7670611143112183","0.7735217809677124","0.7735217809677124","0.7735217809677124","0.8035419583320618","0.8035419583320618","0.8035419583320618","0.9827227592468262","0.9827227592468262","0.9827227592468262","1.5922694206237793","1.5922694206237793","1.5922694206237793"
"106","3.3875303268432617","3.3875303268432617","3.3875303268432617","2.0320565700531006","2.0320565700531006","2.0320565700531006","1.6669827699661255","1.6669827699661255","1.6669827699661255","0.7743605375289917","0.7743605375289917","0.7743605375289917","0.7940001487731934","0.7940001487731934","0.7940001487731934","0.9862791895866394","0.9862791895866394","0.9862791895866394","1.503161907196045","1.503161907196045","1.503161907196045"
"108","3.3398120403289795","3.3398120403289795","3.3398120403289795","2.0208065509796143","2.0208065509796143","2.0208065509796143","1.6764326095581055","1.6764326095581055","1.6764326095581055","0.7699885368347168","0.7699885368347168","0.7699885368347168","0.8162140250205994","0.8162140250205994","0.8162140250205994","0.9866213798522949","0.9866213798522949","0.9866213798522949","1.5264633893966675","1.5264633893966675","1.5264633893966675"
"110","3.3383402824401855","3.3383402824401855","3.3383402824401855","2.0178990364074707","2.0178990364074707","2.0178990364074707","1.6221189498901367","1.6221189498901367","1.6221189498901367","0.7871564626693726","0.7871564626693726","0.7871564626693726","0.802232027053833","0.802232027053833","0.802232027053833","0.9676291346549988","0.9676291346549988","0.9676291346549988","1.5199933052062988","1.5199933052062988","1.5199933052062988"
"112","3.305685520172119","3.305685520172119","3.305685520172119","2.0575952529907227","2.0575952529907227","2.0575952529907227","1.701641321182251","1.701641321182251","1.701641321182251","0.7898180484771729","0.7898180484771729","0.7898180484771729","0.8224838376045227","0.8224838376045227","0.8224838376045227","0.9598513245582581","0.9598513245582581","0.9598513245582581","1.5447354316711426","1.5447354316711426","1.5447354316711426"
