"Step","VOWELS_FILTER_b5_dual_waveform_bs16 - divergence_positive_s","VOWELS_FILTER_b5_dual_waveform_bs16 - divergence_positive_s__MIN","VOWELS_FILTER_b5_dual_waveform_bs16 - divergence_positive_s__MAX","VOWELS_FILTER_b1_dual_waveform_bs16 - divergence_positive_s","VOWELS_FILTER_b1_dual_waveform_bs16 - divergence_positive_s__MIN","VOWELS_FILTER_b1_dual_waveform_bs16 - divergence_positive_s__MAX","VOWELS_FILTER_b0.1_dual_waveform_bs16 - divergence_positive_s","VOWELS_FILTER_b0.1_dual_waveform_bs16 - divergence_positive_s__MIN","VOWELS_FILTER_b0.1_dual_waveform_bs16 - divergence_positive_s__MAX","VOWELS_FILTER_b0_dual_waveform_bs16 - divergence_positive_s","VOWELS_FILTER_b0_dual_waveform_bs16 - divergence_positive_s__MIN","VOWELS_FILTER_b0_dual_waveform_bs16 - divergence_positive_s__MAX","VOWELS_FILTER_b0_DUAL_bs16 - divergence_positive_s","VOWELS_FILTER_b0_DUAL_bs16 - divergence_positive_s__MIN","VOWELS_FILTER_b0_DUAL_bs16 - divergence_positive_s__MAX","VOWELS_FILTER_b0.1_DUAL_bs16 - divergence_positive_s","VOWELS_FILTER_b0.1_DUAL_bs16 - divergence_positive_s__MIN","VOWELS_FILTER_b0.1_DUAL_bs16 - divergence_positive_s__MAX","VOWELS_FILTER_b1_DUAL_bs16 - divergence_positive_s","VOWELS_FILTER_b1_DUAL_bs16 - divergence_positive_s__MIN","VOWELS_FILTER_b1_DUAL_bs16 - divergence_positive_s__MAX","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - divergence_positive_s","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - divergence_positive_s__MIN","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - divergence_positive_s__MAX"
"0","0.005077938549220562","0.005077938549220562","0.005077938549220562","0.006710786372423172","0.006710786372423172","0.006710786372423172","0.01769542135298252","0.01769542135298252","0.01769542135298252","0.26385778188705444","0.26385778188705444","0.26385778188705444","0.06602002680301666","0.06602002680301666","0.06602002680301666","0.007185400929301977","0.007185400929301977","0.007185400929301977","0.0042967163026332855","0.0042967163026332855","0.0042967163026332855","0.0037041245959699154","0.0037041245959699154","0.0037041245959699154"
"2","0.0008965306915342808","0.0008965306915342808","0.0008965306915342808","0.0018938600551337004","0.0018938600551337004","0.0018938600551337004","0.008322304114699364","0.008322304114699364","0.008322304114699364","0.28488457202911377","0.28488457202911377","0.28488457202911377","0.13796931505203247","0.13796931505203247","0.13796931505203247","0.004140693694353104","0.004140693694353104","0.004140693694353104","0.0014734817668795586","0.0014734817668795586","0.0014734817668795586","0.0009773962665349245","0.0009773962665349245","0.0009773962665349245"
"4","0.00045945154852233827","0.00045945154852233827","0.00045945154852233827","0.001332955784164369","0.001332955784164369","0.001332955784164369","0.010187245905399323","0.010187245905399323","0.010187245905399323","0.2914130687713623","0.2914130687713623","0.2914130687713623","0.2518824338912964","0.2518824338912964","0.2518824338912964","0.003791432362049818","0.003791432362049818","0.003791432362049818","0.0007807596120983362","0.0007807596120983362","0.0007807596120983362","0.0004382343904580921","0.0004382343904580921","0.0004382343904580921"
"6","0.000341953185852617","0.000341953185852617","0.000341953185852617","0.0015201442874968052","0.0015201442874968052","0.0015201442874968052","0.02360272966325283","0.02360272966325283","0.02360272966325283","0.29762154817581177","0.29762154817581177","0.29762154817581177","0.27211469411849976","0.27211469411849976","0.27211469411849976","0.016093216836452484","0.016093216836452484","0.016093216836452484","0.0007323349709622562","0.0007323349709622562","0.0007323349709622562","0.00031079616746865213","0.00031079616746865213","0.00031079616746865213"
"8","0.0003177164471708238","0.0003177164471708238","0.0003177164471708238","0.0022762937005609274","0.0022762937005609274","0.0022762937005609274","0.07298417389392853","0.07298417389392853","0.07298417389392853","0.28887176513671875","0.28887176513671875","0.28887176513671875","0.2771325707435608","0.2771325707435608","0.2771325707435608","0.03900226578116417","0.03900226578116417","0.03900226578116417","0.0007236110395751894","0.0007236110395751894","0.0007236110395751894","0.00017423839017283171","0.00017423839017283171","0.00017423839017283171"
"10","0.0004290868528187275","0.0004290868528187275","0.0004290868528187275","0.005102573893964291","0.005102573893964291","0.005102573893964291","0.1668853610754013","0.1668853610754013","0.1668853610754013","0.3131498694419861","0.3131498694419861","0.3131498694419861","0.300704687833786","0.300704687833786","0.300704687833786","0.07583402097225189","0.07583402097225189","0.07583402097225189","0.0014470343012362719","0.0014470343012362719","0.0014470343012362719","0.0001281331351492554","0.0001281331351492554","0.0001281331351492554"
"12","0.0005289316759444773","0.0005289316759444773","0.0005289316759444773","0.010673469863831997","0.010673469863831997","0.010673469863831997","0.15426073968410492","0.15426073968410492","0.15426073968410492","0.33117014169692993","0.33117014169692993","0.33117014169692993","0.3001691699028015","0.3001691699028015","0.3001691699028015","0.10769036412239075","0.10769036412239075","0.10769036412239075","0.0039467159658670425","0.0039467159658670425","0.0039467159658670425","0.00013588604633696377","0.00013588604633696377","0.00013588604633696377"
"14","0.0007645322475582361","0.0007645322475582361","0.0007645322475582361","0.0272834412753582","0.0272834412753582","0.0272834412753582","0.1752326935529709","0.1752326935529709","0.1752326935529709","0.32559555768966675","0.32559555768966675","0.32559555768966675","0.299007773399353","0.299007773399353","0.299007773399353","0.12952201068401337","0.12952201068401337","0.12952201068401337","0.00797930359840393","0.00797930359840393","0.00797930359840393","0.00012209490523673594","0.00012209490523673594","0.00012209490523673594"
"16","0.001170699018985033","0.001170699018985033","0.001170699018985033","0.06034731864929199","0.06034731864929199","0.06034731864929199","0.194610595703125","0.194610595703125","0.194610595703125","0.3262275755405426","0.3262275755405426","0.3262275755405426","0.30805352330207825","0.30805352330207825","0.30805352330207825","0.1431368887424469","0.1431368887424469","0.1431368887424469","0.015952493995428085","0.015952493995428085","0.015952493995428085","0.0001563213882036507","0.0001563213882036507","0.0001563213882036507"
"18","0.002134965732693672","0.002134965732693672","0.002134965732693672","0.10857276618480682","0.10857276618480682","0.10857276618480682","0.22006839513778687","0.22006839513778687","0.22006839513778687","0.3182377815246582","0.3182377815246582","0.3182377815246582","0.3139292597770691","0.3139292597770691","0.3139292597770691","0.15710213780403137","0.15710213780403137","0.15710213780403137","0.03168971836566925","0.03168971836566925","0.03168971836566925","0.00025327326147817075","0.00025327326147817075","0.00025327326147817075"
"20","0.0031405016779899597","0.0031405016779899597","0.0031405016779899597","0.1262669563293457","0.1262669563293457","0.1262669563293457","0.23038265109062195","0.23038265109062195","0.23038265109062195","0.3355998396873474","0.3355998396873474","0.3355998396873474","0.32338109612464905","0.32338109612464905","0.32338109612464905","0.1713092029094696","0.1713092029094696","0.1713092029094696","0.05773336812853813","0.05773336812853813","0.05773336812853813","0.00043218553764745593","0.00043218553764745593","0.00043218553764745593"
"22","0.00474728224799037","0.00474728224799037","0.00474728224799037","0.1455075740814209","0.1455075740814209","0.1455075740814209","0.2510468065738678","0.2510468065738678","0.2510468065738678","0.32800018787384033","0.32800018787384033","0.32800018787384033","0.31844058632850647","0.31844058632850647","0.31844058632850647","0.1765541285276413","0.1765541285276413","0.1765541285276413","0.07790075242519379","0.07790075242519379","0.07790075242519379","0.0007943000528030097","0.0007943000528030097","0.0007943000528030097"
"24","0.006743176840245724","0.006743176840245724","0.006743176840245724","0.16090965270996094","0.16090965270996094","0.16090965270996094","0.261828750371933","0.261828750371933","0.261828750371933","0.32683321833610535","0.32683321833610535","0.32683321833610535","0.3151111602783203","0.3151111602783203","0.3151111602783203","0.21362507343292236","0.21362507343292236","0.21362507343292236","0.10619315505027771","0.10619315505027771","0.10619315505027771","0.0017979716649278998","0.0017979716649278998","0.0017979716649278998"
"26","0.008848927915096283","0.008848927915096283","0.008848927915096283","0.1550302505493164","0.1550302505493164","0.1550302505493164","0.26257258653640747","0.26257258653640747","0.26257258653640747","0.3289441466331482","0.3289441466331482","0.3289441466331482","0.31382426619529724","0.31382426619529724","0.31382426619529724","0.23092292249202728","0.23092292249202728","0.23092292249202728","0.11686176061630249","0.11686176061630249","0.11686176061630249","0.004778202157467604","0.004778202157467604","0.004778202157467604"
"28","0.011833826079964638","0.011833826079964638","0.011833826079964638","0.16327132284641266","0.16327132284641266","0.16327132284641266","0.2604151666164398","0.2604151666164398","0.2604151666164398","0.32312458753585815","0.32312458753585815","0.32312458753585815","0.3223345875740051","0.3223345875740051","0.3223345875740051","0.22744643688201904","0.22744643688201904","0.22744643688201904","0.10959304869174957","0.10959304869174957","0.10959304869174957","0.007265129126608372","0.007265129126608372","0.007265129126608372"
"30","0.015085089020431042","0.015085089020431042","0.015085089020431042","0.18060830235481262","0.18060830235481262","0.18060830235481262","0.27322202920913696","0.27322202920913696","0.27322202920913696","0.32187050580978394","0.32187050580978394","0.32187050580978394","0.31621500849723816","0.31621500849723816","0.31621500849723816","0.24257266521453857","0.24257266521453857","0.24257266521453857","0.12205448746681213","0.12205448746681213","0.12205448746681213","0.013242851942777634","0.013242851942777634","0.013242851942777634"
"32","0.022181332111358643","0.022181332111358643","0.022181332111358643","0.1921762228012085","0.1921762228012085","0.1921762228012085","0.27036044001579285","0.27036044001579285","0.27036044001579285","0.32076072692871094","0.32076072692871094","0.32076072692871094","0.32280057668685913","0.32280057668685913","0.32280057668685913","0.24752163887023926","0.24752163887023926","0.24752163887023926","0.13103395700454712","0.13103395700454712","0.13103395700454712","0.02218969538807869","0.02218969538807869","0.02218969538807869"
"34","0.028429239988327026","0.028429239988327026","0.028429239988327026","0.18332217633724213","0.18332217633724213","0.18332217633724213","0.27518659830093384","0.27518659830093384","0.27518659830093384","0.3288511037826538","0.3288511037826538","0.3288511037826538","0.32159411907196045","0.32159411907196045","0.32159411907196045","0.25356870889663696","0.25356870889663696","0.25356870889663696","0.1343594342470169","0.1343594342470169","0.1343594342470169","0.03585018217563629","0.03585018217563629","0.03585018217563629"
"36","0.03977171331644058","0.03977171331644058","0.03977171331644058","0.1992301642894745","0.1992301642894745","0.1992301642894745","0.2795896530151367","0.2795896530151367","0.2795896530151367","0.3268403112888336","0.3268403112888336","0.3268403112888336","0.3150842785835266","0.3150842785835266","0.3150842785835266","0.24678358435630798","0.24678358435630798","0.24678358435630798","0.12651173770427704","0.12651173770427704","0.12651173770427704","0.0383542999625206","0.0383542999625206","0.0383542999625206"
"38","0.04323709011077881","0.04323709011077881","0.04323709011077881","0.19807645678520203","0.19807645678520203","0.19807645678520203","0.28486794233322144","0.28486794233322144","0.28486794233322144","0.33241185545921326","0.33241185545921326","0.33241185545921326","0.3278736472129822","0.3278736472129822","0.3278736472129822","0.25403571128845215","0.25403571128845215","0.25403571128845215","0.13084937632083893","0.13084937632083893","0.13084937632083893","0.04284707456827164","0.04284707456827164","0.04284707456827164"
"40","0.06480573117733002","0.06480573117733002","0.06480573117733002","0.21539746224880219","0.21539746224880219","0.21539746224880219","0.2820015549659729","0.2820015549659729","0.2820015549659729","0.3221531808376312","0.3221531808376312","0.3221531808376312","0.3175460994243622","0.3175460994243622","0.3175460994243622","0.2526852488517761","0.2526852488517761","0.2526852488517761","0.13237936794757843","0.13237936794757843","0.13237936794757843","0.05376184731721878","0.05376184731721878","0.05376184731721878"
"42","0.07592499256134033","0.07592499256134033","0.07592499256134033","0.21928124129772186","0.21928124129772186","0.21928124129772186","0.2874784469604492","0.2874784469604492","0.2874784469604492","0.3204915523529053","0.3204915523529053","0.3204915523529053","0.3176437318325043","0.3176437318325043","0.3176437318325043","0.25685662031173706","0.25685662031173706","0.25685662031173706","0.13859301805496216","0.13859301805496216","0.13859301805496216","0.06156013160943985","0.06156013160943985","0.06156013160943985"
"44","0.08108451217412949","0.08108451217412949","0.08108451217412949","0.21655027568340302","0.21655027568340302","0.21655027568340302","0.29318249225616455","0.29318249225616455","0.29318249225616455","0.32741042971611023","0.32741042971611023","0.32741042971611023","0.3149256110191345","0.3149256110191345","0.3149256110191345","0.27006995677948","0.27006995677948","0.27006995677948","0.13774827122688293","0.13774827122688293","0.13774827122688293","0.06809835135936737","0.06809835135936737","0.06809835135936737"
"46","0.08819284290075302","0.08819284290075302","0.08819284290075302","0.2278757393360138","0.2278757393360138","0.2278757393360138","0.30058932304382324","0.30058932304382324","0.30058932304382324","0.3185722827911377","0.3185722827911377","0.3185722827911377","0.3174254298210144","0.3174254298210144","0.3174254298210144","0.2763151228427887","0.2763151228427887","0.2763151228427887","0.14767885208129883","0.14767885208129883","0.14767885208129883","0.07379810512065887","0.07379810512065887","0.07379810512065887"
"48","0.08365397900342941","0.08365397900342941","0.08365397900342941","0.23623520135879517","0.23623520135879517","0.23623520135879517","0.299460232257843","0.299460232257843","0.299460232257843","0.312349408864975","0.312349408864975","0.312349408864975","0.3129138946533203","0.3129138946533203","0.3129138946533203","0.2763758897781372","0.2763758897781372","0.2763758897781372","0.14781631529331207","0.14781631529331207","0.14781631529331207","0.07687783241271973","0.07687783241271973","0.07687783241271973"
"50","0.08912098407745361","0.08912098407745361","0.08912098407745361","0.23381493985652924","0.23381493985652924","0.23381493985652924","0.2902413308620453","0.2902413308620453","0.2902413308620453","0.3199838101863861","0.3199838101863861","0.3199838101863861","0.32035064697265625","0.32035064697265625","0.32035064697265625","0.2669414281845093","0.2669414281845093","0.2669414281845093","0.15100254118442535","0.15100254118442535","0.15100254118442535","0.0821610614657402","0.0821610614657402","0.0821610614657402"
"52","0.106719970703125","0.106719970703125","0.106719970703125","0.2502490282058716","0.2502490282058716","0.2502490282058716","0.29862740635871887","0.29862740635871887","0.29862740635871887","0.3210892379283905","0.3210892379283905","0.3210892379283905","0.32083186507225037","0.32083186507225037","0.32083186507225037","0.28802812099456787","0.28802812099456787","0.28802812099456787","0.15766490995883942","0.15766490995883942","0.15766490995883942","0.09460087865591049","0.09460087865591049","0.09460087865591049"
"54","0.10091613978147507","0.10091613978147507","0.10091613978147507","0.2388986051082611","0.2388986051082611","0.2388986051082611","0.2955723702907562","0.2955723702907562","0.2955723702907562","0.3197450637817383","0.3197450637817383","0.3197450637817383","0.32228654623031616","0.32228654623031616","0.32228654623031616","0.2831699848175049","0.2831699848175049","0.2831699848175049","0.15918342769145966","0.15918342769145966","0.15918342769145966","0.09652943909168243","0.09652943909168243","0.09652943909168243"
"56","0.09664403647184372","0.09664403647184372","0.09664403647184372","0.2168203443288803","0.2168203443288803","0.2168203443288803","0.2851080894470215","0.2851080894470215","0.2851080894470215","0.32800793647766113","0.32800793647766113","0.32800793647766113","0.32522743940353394","0.32522743940353394","0.32522743940353394","0.2949141263961792","0.2949141263961792","0.2949141263961792","0.11090098321437836","0.11090098321437836","0.11090098321437836","0.08568216860294342","0.08568216860294342","0.08568216860294342"
"58","0.10717831552028656","0.10717831552028656","0.10717831552028656","0.23525255918502808","0.23525255918502808","0.23525255918502808","0.3103078007698059","0.3103078007698059","0.3103078007698059","0.3253001570701599","0.3253001570701599","0.3253001570701599","0.32401901483535767","0.32401901483535767","0.32401901483535767","0.2938227355480194","0.2938227355480194","0.2938227355480194","0.14400675892829895","0.14400675892829895","0.14400675892829895","0.0951545387506485","0.0951545387506485","0.0951545387506485"
"60","0.09932945668697357","0.09932945668697357","0.09932945668697357","0.21407437324523926","0.21407437324523926","0.21407437324523926","0.30358558893203735","0.30358558893203735","0.30358558893203735","0.3340979814529419","0.3340979814529419","0.3340979814529419","0.3276363015174866","0.3276363015174866","0.3276363015174866","0.29294294118881226","0.29294294118881226","0.29294294118881226","0.13597559928894043","0.13597559928894043","0.13597559928894043","0.09378894418478012","0.09378894418478012","0.09378894418478012"
"62","0.11746975034475327","0.11746975034475327","0.11746975034475327","0.24164879322052002","0.24164879322052002","0.24164879322052002","0.3018300235271454","0.3018300235271454","0.3018300235271454","0.32353854179382324","0.32353854179382324","0.32353854179382324","0.3193458318710327","0.3193458318710327","0.3193458318710327","0.2897852063179016","0.2897852063179016","0.2897852063179016","0.158218115568161","0.158218115568161","0.158218115568161","0.10339367389678955","0.10339367389678955","0.10339367389678955"
"64","0.12191048264503479","0.12191048264503479","0.12191048264503479","0.23399686813354492","0.23399686813354492","0.23399686813354492","0.29572877287864685","0.29572877287864685","0.29572877287864685","0.32612887024879456","0.32612887024879456","0.32612887024879456","0.3241172134876251","0.3241172134876251","0.3241172134876251","0.2919197976589203","0.2919197976589203","0.2919197976589203","0.16206017136573792","0.16206017136573792","0.16206017136573792","0.10706185549497604","0.10706185549497604","0.10706185549497604"
"66","0.1316225379705429","0.1316225379705429","0.1316225379705429","0.24067473411560059","0.24067473411560059","0.24067473411560059","0.3028130829334259","0.3028130829334259","0.3028130829334259","0.3190627098083496","0.3190627098083496","0.3190627098083496","0.3185673654079437","0.3185673654079437","0.3185673654079437","0.2952601909637451","0.2952601909637451","0.2952601909637451","0.16865381598472595","0.16865381598472595","0.16865381598472595","0.11254005879163742","0.11254005879163742","0.11254005879163742"
"68","0.11616399884223938","0.11616399884223938","0.11616399884223938","0.2235952913761139","0.2235952913761139","0.2235952913761139","0.2984940707683563","0.2984940707683563","0.2984940707683563","0.3254038393497467","0.3254038393497467","0.3254038393497467","0.32696637511253357","0.32696637511253357","0.32696637511253357","0.28845086693763733","0.28845086693763733","0.28845086693763733","0.16579407453536987","0.16579407453536987","0.16579407453536987","0.10727129876613617","0.10727129876613617","0.10727129876613617"
"70","0.1255778968334198","0.1255778968334198","0.1255778968334198","0.22898828983306885","0.22898828983306885","0.22898828983306885","0.2971537709236145","0.2971537709236145","0.2971537709236145","0.32346269488334656","0.32346269488334656","0.32346269488334656","0.31478753685951233","0.31478753685951233","0.31478753685951233","0.29579398036003113","0.29579398036003113","0.29579398036003113","0.16573229432106018","0.16573229432106018","0.16573229432106018","0.10845836251974106","0.10845836251974106","0.10845836251974106"
"72","0.12737175822257996","0.12737175822257996","0.12737175822257996","0.2373427450656891","0.2373427450656891","0.2373427450656891","0.297676682472229","0.297676682472229","0.297676682472229","0.32183191180229187","0.32183191180229187","0.32183191180229187","0.3249351382255554","0.3249351382255554","0.3249351382255554","0.2879714071750641","0.2879714071750641","0.2879714071750641","0.18266473710536957","0.18266473710536957","0.18266473710536957","0.11193858832120895","0.11193858832120895","0.11193858832120895"
"74","0.1392321139574051","0.1392321139574051","0.1392321139574051","0.2407054603099823","0.2407054603099823","0.2407054603099823","0.29479825496673584","0.29479825496673584","0.29479825496673584","0.324452668428421","0.324452668428421","0.324452668428421","0.3252803087234497","0.3252803087234497","0.3252803087234497","0.28987210988998413","0.28987210988998413","0.28987210988998413","0.17952528595924377","0.17952528595924377","0.17952528595924377","0.11614616215229034","0.11614616215229034","0.11614616215229034"
"76","0.13707667589187622","0.13707667589187622","0.13707667589187622","0.244710773229599","0.244710773229599","0.244710773229599","0.3098093867301941","0.3098093867301941","0.3098093867301941","0.31827494502067566","0.31827494502067566","0.31827494502067566","0.3181227147579193","0.3181227147579193","0.3181227147579193","0.3053893744945526","0.3053893744945526","0.3053893744945526","0.1906510591506958","0.1906510591506958","0.1906510591506958","0.11823873221874237","0.11823873221874237","0.11823873221874237"
"78","0.141421377658844","0.141421377658844","0.141421377658844","0.24025945365428925","0.24025945365428925","0.24025945365428925","0.30172574520111084","0.30172574520111084","0.30172574520111084","0.32608723640441895","0.32608723640441895","0.32608723640441895","0.320665180683136","0.320665180683136","0.320665180683136","0.30241501331329346","0.30241501331329346","0.30241501331329346","0.20815646648406982","0.20815646648406982","0.20815646648406982","0.12487824261188507","0.12487824261188507","0.12487824261188507"
"80","0.1411166787147522","0.1411166787147522","0.1411166787147522","0.23528902232646942","0.23528902232646942","0.23528902232646942","0.29602599143981934","0.29602599143981934","0.29602599143981934","0.3182979226112366","0.3182979226112366","0.3182979226112366","0.3193766474723816","0.3193766474723816","0.3193766474723816","0.29381927847862244","0.29381927847862244","0.29381927847862244","0.21597985923290253","0.21597985923290253","0.21597985923290253","0.12258023023605347","0.12258023023605347","0.12258023023605347"
"82","0.1404089629650116","0.1404089629650116","0.1404089629650116","0.2524045407772064","0.2524045407772064","0.2524045407772064","0.3110893666744232","0.3110893666744232","0.3110893666744232","0.31759870052337646","0.31759870052337646","0.31759870052337646","0.31991490721702576","0.31991490721702576","0.31991490721702576","0.304624080657959","0.304624080657959","0.304624080657959","0.21264749765396118","0.21264749765396118","0.21264749765396118","0.1158289909362793","0.1158289909362793","0.1158289909362793"
"84","0.13634631037712097","0.13634631037712097","0.13634631037712097","0.24901312589645386","0.24901312589645386","0.24901312589645386","0.3092232942581177","0.3092232942581177","0.3092232942581177","0.3252491354942322","0.3252491354942322","0.3252491354942322","0.3232576847076416","0.3232576847076416","0.3232576847076416","0.3019220530986786","0.3019220530986786","0.3019220530986786","0.2160794734954834","0.2160794734954834","0.2160794734954834","0.11980017274618149","0.11980017274618149","0.11980017274618149"
"86","0.14252521097660065","0.14252521097660065","0.14252521097660065","0.2430267035961151","0.2430267035961151","0.2430267035961151","0.2988092601299286","0.2988092601299286","0.2988092601299286","0.32315778732299805","0.32315778732299805","0.32315778732299805","0.3178711533546448","0.3178711533546448","0.3178711533546448","0.3064296841621399","0.3064296841621399","0.3064296841621399","0.2150416374206543","0.2150416374206543","0.2150416374206543","0.12456425279378891","0.12456425279378891","0.12456425279378891"
"88","0.13567066192626953","0.13567066192626953","0.13567066192626953","0.24171417951583862","0.24171417951583862","0.24171417951583862","0.29259732365608215","0.29259732365608215","0.29259732365608215","0.3409315049648285","0.3409315049648285","0.3409315049648285","0.3393792510032654","0.3393792510032654","0.3393792510032654","0.2924242317676544","0.2924242317676544","0.2924242317676544","0.21260395646095276","0.21260395646095276","0.21260395646095276","0.10870649665594101","0.10870649665594101","0.10870649665594101"
"90","0.15603163838386536","0.15603163838386536","0.15603163838386536","0.2665219008922577","0.2665219008922577","0.2665219008922577","0.31719374656677246","0.31719374656677246","0.31719374656677246","0.31993138790130615","0.31993138790130615","0.31993138790130615","0.3217868208885193","0.3217868208885193","0.3217868208885193","0.30878502130508423","0.30878502130508423","0.30878502130508423","0.23829275369644165","0.23829275369644165","0.23829275369644165","0.12640663981437683","0.12640663981437683","0.12640663981437683"
"92","0.15609273314476013","0.15609273314476013","0.15609273314476013","0.25671815872192383","0.25671815872192383","0.25671815872192383","0.3054577112197876","0.3054577112197876","0.3054577112197876","0.322270929813385","0.322270929813385","0.322270929813385","0.3286300301551819","0.3286300301551819","0.3286300301551819","0.2932508885860443","0.2932508885860443","0.2932508885860443","0.2413260042667389","0.2413260042667389","0.2413260042667389","0.1265784204006195","0.1265784204006195","0.1265784204006195"
"94","0.15839707851409912","0.15839707851409912","0.15839707851409912","0.2570567727088928","0.2570567727088928","0.2570567727088928","0.3100695013999939","0.3100695013999939","0.3100695013999939","0.3196350634098053","0.3196350634098053","0.3196350634098053","0.3200165629386902","0.3200165629386902","0.3200165629386902","0.3048083782196045","0.3048083782196045","0.3048083782196045","0.2433028221130371","0.2433028221130371","0.2433028221130371","0.12536591291427612","0.12536591291427612","0.12536591291427612"
"96","0.1601295918226242","0.1601295918226242","0.1601295918226242","0.2520716190338135","0.2520716190338135","0.2520716190338135","0.30098193883895874","0.30098193883895874","0.30098193883895874","0.3253079056739807","0.3253079056739807","0.3253079056739807","0.31871047616004944","0.31871047616004944","0.31871047616004944","0.3043767213821411","0.3043767213821411","0.3043767213821411","0.23912744224071503","0.23912744224071503","0.23912744224071503","0.1281975358724594","0.1281975358724594","0.1281975358724594"
"98","0.16919028759002686","0.16919028759002686","0.16919028759002686","0.25307098031044006","0.25307098031044006","0.25307098031044006","0.3001893162727356","0.3001893162727356","0.3001893162727356","0.33308330178260803","0.33308330178260803","0.33308330178260803","0.3252023160457611","0.3252023160457611","0.3252023160457611","0.30398744344711304","0.30398744344711304","0.30398744344711304","0.2425994873046875","0.2425994873046875","0.2425994873046875","0.13436880707740784","0.13436880707740784","0.13436880707740784"
"100","0.1673574447631836","0.1673574447631836","0.1673574447631836","0.25959891080856323","0.25959891080856323","0.25959891080856323","0.3105737268924713","0.3105737268924713","0.3105737268924713","0.3232181966304779","0.3232181966304779","0.3232181966304779","0.3202872574329376","0.3202872574329376","0.3202872574329376","0.30885547399520874","0.30885547399520874","0.30885547399520874","0.23318225145339966","0.23318225145339966","0.23318225145339966","0.13060936331748962","0.13060936331748962","0.13060936331748962"
"102","0.17217335104942322","0.17217335104942322","0.17217335104942322","0.26340681314468384","0.26340681314468384","0.26340681314468384","0.30653443932533264","0.30653443932533264","0.30653443932533264","0.3265783190727234","0.3265783190727234","0.3265783190727234","0.32606035470962524","0.32606035470962524","0.32606035470962524","0.3058810830116272","0.3058810830116272","0.3058810830116272","0.23850977420806885","0.23850977420806885","0.23850977420806885","0.13340051472187042","0.13340051472187042","0.13340051472187042"
"104","0.16858041286468506","0.16858041286468506","0.16858041286468506","0.2539541721343994","0.2539541721343994","0.2539541721343994","0.30224642157554626","0.30224642157554626","0.30224642157554626","0.32648706436157227","0.32648706436157227","0.32648706436157227","0.32483136653900146","0.32483136653900146","0.32483136653900146","0.3084307312965393","0.3084307312965393","0.3084307312965393","0.2263340801000595","0.2263340801000595","0.2263340801000595","0.12977305054664612","0.12977305054664612","0.12977305054664612"
"106","0.18238747119903564","0.18238747119903564","0.18238747119903564","0.26216790080070496","0.26216790080070496","0.26216790080070496","0.3048712909221649","0.3048712909221649","0.3048712909221649","0.327431857585907","0.327431857585907","0.327431857585907","0.3266507387161255","0.3266507387161255","0.3266507387161255","0.30875569581985474","0.30875569581985474","0.30875569581985474","0.2284211963415146","0.2284211963415146","0.2284211963415146","0.14222250878810883","0.14222250878810883","0.14222250878810883"
"108","0.17642728984355927","0.17642728984355927","0.17642728984355927","0.25500544905662537","0.25500544905662537","0.25500544905662537","0.3006335496902466","0.3006335496902466","0.3006335496902466","0.32736244797706604","0.32736244797706604","0.32736244797706604","0.3168805241584778","0.3168805241584778","0.3168805241584778","0.30570459365844727","0.30570459365844727","0.30570459365844727","0.22576968371868134","0.22576968371868134","0.22576968371868134","0.1324114203453064","0.1324114203453064","0.1324114203453064"
"110","0.17342422902584076","0.17342422902584076","0.17342422902584076","0.27110129594802856","0.27110129594802856","0.27110129594802856","0.30681517720222473","0.30681517720222473","0.30681517720222473","0.32671576738357544","0.32671576738357544","0.32671576738357544","0.32299500703811646","0.32299500703811646","0.32299500703811646","0.3120590150356293","0.3120590150356293","0.3120590150356293","0.2482919692993164","0.2482919692993164","0.2482919692993164","0.135703906416893","0.135703906416893","0.135703906416893"
